id,title,category,frequency,breadth,urgency,fix_confidence,distinctiveness,premiumness,package,notes
aws-credentials,AWS credentials missing or invalid,auth,4,4,5,4,3,2,base,Broad cloud auth failure
docker-auth,Docker registry authentication failure,auth,4,4,5,4,3,2,base,Broad container registry auth
git-auth,Git authentication failure,auth,4,4,5,4,3,2,base,Broad source fetch auth
missing-env,Missing required environment variable,auth,5,5,4,4,2,1,base,Essential first-run failure class
ssh-key-auth,SSH key authentication failure,auth,3,3,5,4,3,2,base,Common private repo access issue
cache-corruption,Corrupted or stale dependency cache,build,3,4,3,3,2,2,base,Common but usually secondary signal
build-input-file-missing,Required build input file missing,build,4,4,4,5,3,1,base,Common missing artifact or path drift in build and lint steps
dependency-drift,Dependency version drift,build,4,5,4,3,3,2,base,Broad package ecosystem coverage
docker-build-context,Docker build context or Dockerfile path issue,build,3,4,4,4,3,2,base,Useful container build baseline
eslint-failure,ESLint or linter check failure,build,4,4,3,4,3,3,base,Common JS quality gate
go-compile-error,Go compilation error,build,4,3,5,4,3,2,base,Clear compiler evidence
go-sum-missing,Missing go.sum entry,build,3,3,4,5,3,2,base,Deterministic Go dependency repair
install-failure,Package installation failure,build,4,5,4,3,2,1,base,Broad package install fallback
merge-conflict,Unresolved merge conflict in source code,build,3,5,5,5,2,1,base,Universal and easy to fix
missing-executable,Required executable or runtime binary missing,build,4,4,5,5,4,2,base,High-signal CI image or runner toolchain failure
node-out-of-memory,Node.js JavaScript heap out of memory,build,4,4,5,4,4,3,base,Frequent high-pain JS build issue
node-version-mismatch,Node.js version mismatch,build,4,4,4,5,3,2,base,High-frequency CI mismatch
npm-ci-lockfile,npm ci lockfile mismatch,build,5,4,4,5,3,2,base,Strong day-one npm signal
npm-peer-dependency-conflict,npm peer dependency conflict,build,4,4,4,4,4,2,base,Distinct modern npm resolver failure with clear remediation
path-case-mismatch,File path case mismatch,build,2,3,3,4,4,2,base,Distinct cross-platform failure
pip-install-failure,pip package install failure,build,4,4,4,4,3,2,base,Broad Python build coverage
pnpm-lockfile,pnpm lockfile mismatch or frozen install failed,build,3,3,4,5,4,3,base,Strong pnpm developer signal
poetry-lockfile-drift,Poetry lockfile drift,build,3,3,4,5,4,2,base,Specific Python manifest-lock mismatch before import fallout
python-module-missing,Python module not found,build,4,4,4,4,3,2,base,Broad Python import/install failure
quality-gate-failure,"Lint, format, or static-analysis gate failure",build,4,5,3,3,2,1,base,Generic fallback after tool-specific rules
runtime-mismatch,"Python, Ruby, or Go runtime version mismatch",build,2,3,4,4,3,2,base,Narrowed generic fallback for remaining runtimes
syntax-error,Syntax error in source code,build,5,5,5,4,2,1,base,Universal fallback with obvious evidence
typescript-compile,TypeScript compile or type-check failure,build,4,4,5,4,4,3,base,Common and trusted TS signal
working-directory,Wrong working directory,build,3,5,4,5,3,1,base,Broad CI ergonomics issue
yarn-lockfile,Yarn lockfile out of date,build,4,4,4,5,3,2,base,Common JavaScript install failure
artifact-upload-failure,CI artifact upload or download failed,ci,3,4,3,4,3,2,base,Broad CI transport failure
pipeline-timeout,CI job or pipeline exceeded time limit,ci,4,5,5,3,2,1,base,Universal CI pain point
runner-disk-full,CI runner disk full,ci,3,4,5,4,3,2,base,Important CI-host diagnostic
secrets-not-available,CI secret or environment variable not available,ci,3,4,5,4,4,3,base,High-value CI platform issue
config-mismatch,Deployment configuration mismatch,deploy,4,4,4,3,3,2,base,Broad deploy misconfiguration coverage
